"species_a","species_b","sp_comb","phylo","Gut_length","Relative_gut_length","Diet_FishBase"
"Pagellus_erythrinus","Pagellus_acarne","Pagellus_acarne__Pagellus_erythrinus",61.426681451302,0.0527969950359155,0.0586695844178406,0.463268365817091
"Pagrus_pagrus","Pagellus_acarne","Pagellus_acarne__Pagrus_pagrus",61.426681451302,0.523793139214707,0.421012189674871,0.581581581581582
"Sarpa_salpa","Pagellus_acarne","Pagellus_acarne__Sarpa_salpa",42.0430035605302,3.61333104189491,3.11159748310676,1
"Sparus_aurata","Pagellus_acarne","Pagellus_acarne__Sparus_aurata",32.4709547219179,0.372725212687514,0.306104777721292,0.820089955022489
"Pagrus_pagrus","Pagellus_erythrinus","Pagellus_erythrinus__Pagrus_pagrus",16.9016713711278,0.576590134250623,0.479681774092712,0.567783891945973
"Sarpa_salpa","Pagellus_erythrinus","Pagellus_erythrinus__Sarpa_salpa",61.426681451302,3.66612803693082,3.1702670675246,1
"Sparus_aurata","Pagellus_erythrinus","Pagellus_erythrinus__Sparus_aurata",61.426681451302,0.42552220772343,0.364774362139133,0.604395604395604
"Sarpa_salpa","Pagrus_pagrus","Pagrus_pagrus__Sarpa_salpa",61.426681451302,3.0895379026802,2.69058529343189,0.994994994994995
"Sparus_aurata","Pagrus_pagrus","Pagrus_pagrus__Sparus_aurata",61.426681451302,0.151067926527193,0.114907411953579,0.786893446723362
"Sparus_aurata","Sarpa_salpa","Sarpa_salpa__Sparus_aurata",42.0430035605302,3.24060582920739,2.80549270538547,1
